,id,name,artists,artist_ids,year,genre,language,country,AppleMusicLink,SpotifyLink,YouTubeLink,YouTubeMusicLink,PandoraLink,DeezerLink,SoundCloudLink,AmazonMusicLink,TIDALLink,NapsterLink,YandexLink
661,1X6vkWpjLgopLGNt7W2iBl,Soul Explosions,['The Sons Of Champlin'],['3LmdSHbQzMs8ZL0GVGpwXb'],2008,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/295588213?i=295588432&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/1X6vkWpjLgopLGNt7W2iBl""","""https://www.youtube.com/watch?v=_8iPJtgrD04""","""https://music.youtube.com/watch?v=_8iPJtgrD04""",not found,not found,"""https://soundcloud.com/sonsofchamplin/soul-explosions""","""https://music.amazon.com/albums/B001KWSLFI?trackAsin=B001KWPXHM&amp;do=play""",not found,"""https://napster.com/track/tra.24205792""","""https://music.yandex.ru/track/8722417"""
662,21qy8wWmHPea2EMAk5FimT,Gouverneur Gardens,['Deep of 2 Hungry Bros'],['5DUgVOK5Gu4BTSK5knnIUD'],2019,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/1449985449?i=1449985455&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/21qy8wWmHPea2EMAk5FimT""","""https://www.youtube.com/watch?v=JnL31N5EAAw""","""https://music.youtube.com/watch?v=JnL31N5EAAw""","""https://www.pandora.com/TR:16316223""","""https://www.deezer.com/track/620582532""","""https://soundcloud.com/deepof2hungrybros/gouverneur-gardens""",not found,"""https://listen.tidal.com/track/102637847""",not found,"""https://music.yandex.ru/track/52234757"""
663,6oIM6ygVivFT5gWmfSsADn,Mad About You (Juno Dreams Remix),"['Candy Apple Blue', 'Nick Bramlett']","['7kMDiq0QcRlf24XCg3lnbP', '4k5XB6UCETZiyfgiM2sp3Q']",2018,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/1325792081?i=1325792651&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/3to7sJkkFljX0pPSJyg0jL""","""https://www.youtube.com/watch?v=W5X0iBuXsXo""","""https://music.youtube.com/watch?v=W5X0iBuXsXo""",not found,"""https://www.deezer.com/track/103149812""",not found,"""https://music.amazon.com/albums/B07891NCHM?trackAsin=B078935HCQ&amp;do=play""","""https://listen.tidal.com/track/82497739""","""https://napster.com/track/tra.292669971""",not found
664,6JVDvFAswCOnrZV9WVNy7Y,Macarena,['The Hit Crew'],['76PJKS3IQsf4sSayx2taE0'],2007,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/1444211569?i=1444211581&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/6xg3qffOsp4RL0S4wsxYrD""","""https://www.youtube.com/watch?v=vuGQnkLTFfA""","""https://music.youtube.com/watch?v=vuGQnkLTFfA""",not found,"""https://www.deezer.com/track/112762600""","""https://soundcloud.com/thehitcrewofficial/macarena-4""",not found,"""https://listen.tidal.com/track/73089470""","""https://napster.com/track/tra.259700159""","""https://music.yandex.ru/track/1028143"""
665,4kH8XrVfDHEKEfbBx5ohJA,Fearless,['Jill Walsh'],['7qXr960LtM2CPP0u3uhQvF'],2006,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/192543321?i=192543495&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/4kH8XrVfDHEKEfbBx5ohJA""","""https://www.youtube.com/watch?v=q3N1eR0WQ1U""","""https://music.youtube.com/watch?v=q3N1eR0WQ1U""",not found,"""https://www.deezer.com/track/69942773""",not found,"""https://music.amazon.com/albums/B0013SO8ME?trackAsin=B0013RYSLQ&amp;do=play""",not found,"""https://napster.com/track/tra.14388238""","""https://music.yandex.ru/track/12875063"""
666,2DFG6gbvsQDp3R1htpBU5Y,(If You Think You're) Groovy,['Chico Hamilton'],['31NF3yc9DoAdh2bgR6mY04'],2007,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/257419906?i=257423373&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/2DFG6gbvsQDp3R1htpBU5Y""","""https://www.youtube.com/watch?v=Xx_NHwY3vrs""","""https://music.youtube.com/watch?v=Xx_NHwY3vrs""","""https://www.pandora.com/TR:6433265""","""https://www.deezer.com/track/30605971""",not found,"""https://music.amazon.com/albums/B000S57WR6?trackAsin=B000S4ZRTM&amp;do=play""","""https://listen.tidal.com/track/19156289""","""https://napster.com/track/tra.10719046""","""https://music.yandex.ru/track/46458211"""
667,1URFSXJ2hxBhMArftCKADF,Children of the Moon,['Pilot'],['2kCHDp01zBEg4Y2J3cVTpS'],2014,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/905739915?i=905739918&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/1URFSXJ2hxBhMArftCKADF""","""https://www.youtube.com/watch?v=5Y75cFkrXwM""","""https://music.youtube.com/watch?v=5Y75cFkrXwM""",not found,not found,not found,not found,not found,not found,not found
668,2KxgKIiBgPYkMqgAH4VBL0,Mi Arbolito - En Vivo,['Fidel Funes Y Su Marimba Orquesta'],['1xcedy1ZFkXIQcobLl0S6t'],2015,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/1044647821?i=1044649476&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/2KxgKIiBgPYkMqgAH4VBL0""","""https://www.youtube.com/watch?v=TmBEtnrZm_U""","""https://music.youtube.com/watch?v=TmBEtnrZm_U""","""https://www.pandora.com/TR:16492588""","""https://www.deezer.com/track/111399646""",not found,"""https://music.amazon.com/albums/B0160KYMR0?trackAsin=B0160KYVL2&amp;do=play""","""https://listen.tidal.com/track/51965062""","""https://napster.com/track/tra.201729702""","""https://music.yandex.ru/track/26246076"""
669,5S2qQsIUJS3082VtpE1mrD,sleep_mode,['Allem Iversom'],['6RaUtVLO8R5TsVdJIxSrq1'],2018,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/1434784617?i=1434784627&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/5S2qQsIUJS3082VtpE1mrD""","""https://www.youtube.com/watch?v=04voLj8uu6Q""","""https://music.youtube.com/watch?v=04voLj8uu6Q""","""https://www.pandora.com/TR:18011012""",not found,not found,not found,"""https://listen.tidal.com/track/94383431""",not found,not found
670,2sOpqyiIQYTWIXXA1pBvpH,The Path of Thorns (Terms),['Sarah McLachlan'],['4NgNsOXSwIzXlUIJcpnNUp'],2008,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/686780496?i=686780502&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/0bCdCNPRzqBDX6IXHSLh6D""","""https://www.youtube.com/watch?v=vZqdS1IOyXA""","""https://music.youtube.com/watch?v=vZqdS1IOyXA""","""https://www.pandora.com/TR:6673686""","""https://www.deezer.com/track/70019469""",not found,"""https://music.amazon.com/albums/B001H5ROG0?trackAsin=B001H5OYQI&amp;do=play""","""https://listen.tidal.com/track/1880253""","""https://napster.com/track/tra.23452270""",not found
671,5mKfY0Viww0rpXyloiEsKs,Carolina Kisses,['Sweet Potato Pie'],['0xGyDgjhzDDtnOLdy0im4a'],2009,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/314074746?i=314074751&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/5mKfY0Viww0rpXyloiEsKs""","""https://www.youtube.com/watch?v=YShKlntVDBw""","""https://music.youtube.com/watch?v=YShKlntVDBw""",not found,"""https://www.deezer.com/track/8467786""",not found,"""https://music.amazon.com/albums/B0028EMVB2?trackAsin=B0028EU92U&amp;do=play""","""https://listen.tidal.com/track/32268464""","""https://napster.com/track/tra.27776415""","""https://music.yandex.ru/track/13797335"""
672,6NJZ2EQMJi6N2H8ilztKie,G Thang,['King Ital Rebel'],['2cfVlg0JmQ302fEUvpMUBT'],2019,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/1487269376?i=1487269382&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/6NJZ2EQMJi6N2H8ilztKie""","""https://www.youtube.com/watch?v=-yxdO00vAQA""","""https://music.youtube.com/watch?v=-yxdO00vAQA""","""https://www.pandora.com/TR:25350920""","""https://www.deezer.com/track/801056782""",not found,"""https://music.amazon.com/albums/B0817D9ZNW?trackAsin=B0817FV5HB&amp;do=play""","""https://listen.tidal.com/track/122095392""","""https://napster.com/track/tra.421304476""","""https://music.yandex.ru/track/59710782"""
673,0wUPG1BiHQWhwkKBuDb9nI,Masters of War,"['Vieux Farka Touré', 'Julia Easterlin']","['4PmxbsWP1u0TnvqcrIA9ze', '4f4k9MkmDmRToDktQomwrX']",2015,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/1023611376?i=1023611390&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/0wUPG1BiHQWhwkKBuDb9nI""","""https://www.youtube.com/watch?v=Djca7zTbwRE""","""https://music.youtube.com/watch?v=Djca7zTbwRE""",not found,"""https://www.deezer.com/track/104864430""",not found,"""https://music.amazon.com/albums/B012VQ0NQG?trackAsin=B012VQ0W30&amp;do=play""","""https://listen.tidal.com/track/49596766""",not found,"""https://music.yandex.ru/track/25019428"""
674,4k03D37PA1flfIHwCsWZfb,Love Like I've Never Been Hurt Before,['Carol Riddick'],['0TXTa4w6P9h0tJ1GFTZIhL'],2015,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/1564162180?i=1564162332&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/50w7Vz1DQYY2M8wVVYRVgz""","""https://www.youtube.com/watch?v=03kSttXHQnw""","""https://music.youtube.com/watch?v=03kSttXHQnw""","""https://www.pandora.com/TR:47377327""","""https://www.deezer.com/track/1443308932""","""https://soundcloud.com/will_young/indestructible""","""https://music.amazon.com/albums/B0935VJ6YL?trackAsin=B0935YCPH3&amp;do=play""","""https://listen.tidal.com/track/191940268""","""https://napster.com/track/tra.615546217""","""https://music.yandex.ru/track/87908110"""
675,1bhTHos5fqJpqqUnL2KVOW,Émeraudes,['Marie-Ève Laure'],['7AZFwG7m4wM2uo2HYaBltu'],2019,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/1571830293?i=1571830999&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/0aWALoWsjnJu4aqFNxrUyg""","""https://www.youtube.com/watch?v=FGTIEcvgmDI""","""https://music.youtube.com/watch?v=FGTIEcvgmDI""","""https://www.pandora.com/TR:28012244""","""https://www.deezer.com/track/1401971692""","""https://soundcloud.com/marieevelauremusique/emeraudes""","""https://music.amazon.com/albums/B0971ZBC77?trackAsin=B0971YJVXR&amp;do=play""","""https://listen.tidal.com/track/187305948""","""https://napster.com/track/tra.589610665""","""https://music.yandex.ru/track/56622063"""
